"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","Eucl_distance","NS_shift","EW_shift","shift_direction","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","rS_NA","rE_NA","rU_NA","rS_A","rE_A","rU_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Accipiter cooperii",452765.321269491,309125.88347781,321148.969954517,249894.814587914,144330.119709318,-59231.0688898961,-131616.351314974,-110.60960816806,149,230,0.822319164193253,0.998001998001998,0.863136863136863,0.863136863136863,1,0.991008991008991,0.878121878121878,0.878121878121878,1,0.00999000999000999,0.130869130869131,0.130869130869131,0.002997002997003,0.010989010989011,0.123876123876124,0.123876123876124,0.001998001998002,0.965572862196781,0.0344271378032193,0.00661751523400192,0.965572862196781,0.0344271378032193,0.00661751523400192,0.959401741999776,0.00639114917020813,0.0342071088300157
"Accipiter striatus",513202.856452109,539560.103169316,399650.190926658,543386.774524526,113617.125740778,3826.67135520908,-113552.665525451,-84.3205688184815,72,42,0.846855580085604,1,0.987012987012987,0.987012987012987,1,0.999000999000999,0.986013986013986,0.986013986013986,1,0.001998001998002,0.014985014985015,0.014985014985015,0.000999000999000999,0.002997002997003,0.014985014985015,0.014985014985015,0.000999000999000999,0.989986684452777,0.0100133155472233,0.0640131609202935,0.989986684452777,0.0100133155472233,0.0554472476444868,0.927208833519863,0.0634128235448085,0.00937834293532876
"Actitis macularius",-595703.483260297,836638.988104069,-732161.608511102,855093.951081527,137700.419772286,18454.9629774581,-136458.125250805,-86.7690763152465,133,113,0.799517066435091,1,0.933066933066933,0.933066933066933,1,1,0.917082917082917,0.917082917082917,1,0.000999000999000999,0.0779220779220779,0.0779220779220779,0.000999000999000999,0.000999000999000999,0.0959040959040959,0.0959040959040959,0.000999000999000999,0.999390469204652,0.000609530795348378,0.0548848048421168,0.999390469204652,0.000609530795348378,0.0322475156261546,0.944570717990008,0.0548531859206849,0.00057609608930675
"Aechmophorus occidentalis",-1161732.83204103,715169.934888347,-1194710.94817872,727232.870022533,35115.1042721305,12062.9351341856,-32978.1161376908,-78.6905018268359,31,28,0.938246527962238,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.997033656905601,0.00296634309439932,0.017262942051563,0.997033656905601,0.00296634309439932,0.017025663556076,0.979872099766255,0.0172126156629536,0.00291528457079097
"Aeronautes saxatalis",-1308816.37299863,161745.433666744,-1406803.81593381,239569.974672797,125132.722162422,77824.5410060524,-97987.4429351804,-61.113776274836,47,37,0.834054228181046,0.998001998001998,0.983016983016983,0.983016983016983,0.998001998001998,0.998001998001998,1,1,1,0.002997002997003,0.018981018981019,0.018981018981019,0.002997002997003,0.002997002997003,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.961118260909973,0.0388817390900268,0.0817919937189991,0.971566524239801,0.0284334757601987,0.0777731730614421,0.885321996407301,0.0788625787121238,0.0358154248805753
"Aimophila ruficeps",-974390.462177674,-377121.349488064,-1046999.85786768,-381785.901520583,72759.0708306009,-4664.55203251948,-72609.3956900091,-99.9451594171826,34,37,0.865661945309019,1,1,1,1,1,1,1,1,0.000999000999000999,0.18981018981019,0.18981018981019,0.000999000999000999,0.000999000999000999,0.185814185814186,0.185814185814186,0.000999000999000999,1,0,0.15481464886702,1,0,0.154413549152579,0.84518535113298,0.15481464886702,0
"Aix sponsa",662381.255851637,355948.798535504,762334.094456036,351109.462136925,100069.921164432,-4839.33639857837,99952.8386043995,97.362556859189,318,273,0.897014415597781,1,0.978021978021978,0.978021978021978,1,1,0.98001998001998,0.98001998001998,1,0.000999000999000999,0.025974025974026,0.025974025974026,0.000999000999000999,0.001998001998002,0.030969030969031,0.030969030969031,0.000999000999000999,0.989544188865117,0.0104558111348831,0.0162357028059543,0.989544188865117,0.0104558111348831,0.0162357028059543,0.973643526736039,0.0160686731406248,0.0102878001233365
"Ammodramus savannarum",419267.119844928,374414.026997598,348049.835844599,349941.866012668,75304.6360037408,-24472.1609849294,-71217.2840003295,-105.661767818607,368,296,0.878305469843846,0.998001998001998,0.996003996003996,0.996003996003996,1,0.999000999000999,0.998001998001998,0.998001998001998,1,0.000999000999000999,0.002997002997003,0.002997002997003,0.000999000999000999,0.003996003996004,0.00699300699300699,0.00699300699300699,0.001998001998002,0.997028033073183,0.00297196692681737,0.00560257899731427,0.997028033073183,0.00297196692681737,0.00560257899731427,0.991458613214945,0.00558602132888011,0.00295536545617544
"Amphispiza bilineata",-1310271.68500951,-124310.408257021,-1204030.35185074,-169787.475693786,115565.498891329,-45477.0674367643,106241.333158774,104.125314373099,74,78,0.898695393230462,0.998001998001998,0.987012987012987,0.987012987012987,0.994005994005994,0.994005994005994,0.983016983016983,0.983016983016983,0.992007992007992,0.00699300699300699,0.021978021978022,0.021978021978022,0.010989010989011,0.00599400599400599,0.013986013986014,0.013986013986014,0.00599400599400599,0.950082235373829,0.0499177646261712,0.0516949663823617,0.950082235373829,0.0499177646261712,0.0516949663823617,0.903298725956485,0.0492415368643701,0.0474597371791446
"Anas acuta",-838906.103749413,818809.680419066,-975015.126185905,826046.303408815,136301.26448758,7236.62298974954,-136109.022436492,-93.2316503991324,72,63,0.88506599227048,1,0.989010989010989,0.989010989010989,1,1,0.997002997002997,0.997002997002997,1,0.002997002997003,0.013986013986014,0.013986013986014,0.002997002997003,0.001998001998002,0.00999000999000999,0.00999000999000999,0.000999000999000999,0.991813678078725,0.00818632192127535,0.0839765036977431,0.996507470734651,0.00349252926534927,0.0735906224015461,0.909149635894592,0.0833463421721139,0.00750402193329366
"Anas platyrhynchos",171213.735312262,574096.390665246,142622.562472824,612924.127362017,48218.7546638064,38827.7366967706,-28591.1728394378,-35.4070407810533,563,451,0.913738395685691,1,0.525474525474525,0.525474525474525,1,1,0.517482517482518,0.517482517482518,1,0.000999000999000999,0.482517482517482,0.482517482517482,0.000999000999000999,0.000999000999000999,0.477522477522478,0.477522477522478,0.000999000999000999,0.999547904901016,0.000452095098984193,0.00802133621173866,0.999547904901016,0.000452095098984193,0.000656035612010705,0.991533790800936,0.00801773888053273,0.000448470318531369
"Antigone canadensis",-325211.041668446,597513.725329357,-317440.781583734,650006.863678488,53065.1158061965,52493.1383491307,7770.2600847116,6.07308685033733,102,150,0.909895012885329,1,0.925074925074925,0.925074925074925,1,1,0.934065934065934,0.934065934065934,1,0.000999000999000999,0.0879120879120879,0.0879120879120879,0.000999000999000999,0.000999000999000999,0.0629370629370629,0.0629370629370629,0.000999000999000999,0.963138618924304,0.0368613810756957,0,0.967936771662465,0.032063228337535,0,0.963138618924304,0,0.0368613810756957
"Antrostomus carolinensis",766961.084868994,-389760.62508578,782669.881563732,-346918.513327294,45631.2703474629,42842.1117584863,15708.7966947381,25.5006246981289,139,112,0.910454010946514,0.997002997002997,0.978021978021978,0.978021978021978,1,0.999000999000999,0.982017982017982,0.982017982017982,1,0.001998001998002,0.014985014985015,0.014985014985015,0.000999000999000999,0.002997002997003,0.023976023976024,0.023976023976024,0.000999000999000999,0.997073544440197,0.00292645555980302,0.0303093620391197,0.997073544440197,0.00292645555980302,0.0303093620391197,0.966938647894279,0.0302233438184714,0.00283800828724962
"Antrostomus vociferus",830476.514666201,171775.063182088,1051399.98543332,157114.069657283,221409.405100427,-14660.9935248046,220923.47076712,99.3943133704555,74,48,0.79862862702271,0.998001998001998,0.971028971028971,0.971028971028971,1,0.998001998001998,0.98001998001998,0.98001998001998,1,0.002997002997003,0.024975024975025,0.024975024975025,0.000999000999000999,0.002997002997003,0.032967032967033,0.032967032967033,0.000999000999000999,0.967199254999891,0.0328007450001085,0.0941356816953715,0.967199254999891,0.0328007450001085,0.0941356816953715,0.878864983212446,0.0913299626016102,0.0298050541859436
"Aphelocoma californica",-2130664.07277705,586546.985410318,-2123805.12391307,599918.547833917,15028.1023807696,13371.5624235988,6858.94886397989,11.9609249669473,34,35,0.96292281041668,1,0.948051948051948,0.948051948051948,1,1,0.942057942057942,0.942057942057942,1,0.000999000999000999,0.048951048951049,0.048951048951049,0.000999000999000999,0.000999000999000999,0.044955044955045,0.044955044955045,0.000999000999000999,0.985530920997159,0.0144690790028411,0.00605902874884035,0.985530920997159,0.0144690790028411,0.00605902874884035,0.979645444924966,0.00597188372967368,0.0143826713453607
"Aphelocoma woodhouseii",-1013720.35870889,-147319.469065076,-1091438.26316987,-26500.954513054,143656.48656557,120818.514552022,-77717.9044609831,-40.107252591157,42,46,0.799346229762619,0.999000999000999,0.998001998001998,0.998001998001998,1,1,1,1,1,0.002997002997003,0.001998001998002,0.001998001998002,0.000999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,0.000999000999000999,0.913907946044233,0.0860920539557669,0.0016939271540595,0.913907946044233,0.0860920539557669,0.0016939271540595,0.912492924748308,0.00154831928319529,0.0859587559684973
"Aquila chrysaetos",-1279511.35484196,392281.649980006,-1234153.39632899,406787.931351772,47621.1780587261,14506.2813717659,45357.9585129672,63.4983147089738,84,66,0.862728286487557,1,0.994005994005994,0.994005994005994,1,1,0.991008991008991,0.991008991008991,1,0.002997002997003,0.002997002997003,0.002997002997003,0.000999000999000999,0.002997002997003,0.00799200799200799,0.00799200799200799,0.000999000999000999,0.981846022639753,0.018153977360247,0.0270707920664611,0.981846022639753,0.018153977360247,0.0270707920664611,0.955736362631232,0.0265924181658583,0.0176712192029098
"Archilochus alexandri",-1027335.8365633,-205270.963960087,-1002466.82980974,-179249.839007188,35993.9778396735,26021.1249528995,24869.0067535577,37.315367929561,58,67,0.930372331844796,0.999000999000999,0.982017982017982,0.982017982017982,1,1,0.988011988011988,0.988011988011988,1,0.001998001998002,0.014985014985015,0.014985014985015,0.000999000999000999,0.000999000999000999,0.017982017982018,0.017982017982018,0.000999000999000999,0.991139883155142,0.00886011684485785,0.0261871965219119,0.991139883155142,0.00886011684485785,0.0260231739264471,0.965408703946693,0.025961198460239,0.00863009759306759
"Archilochus colubris",1042762.01463058,280386.537797097,998693.265218259,284370.694878072,44248.4822611065,3984.15708097507,-44068.7494123168,-77.6613538904241,348,378,0.917773322101385,1,0.958041958041958,0.958041958041958,1,1,0.982017982017982,0.982017982017982,1,0.001998001998002,0.034965034965035,0.034965034965035,0.001998001998002,0.001998001998002,0.017982017982018,0.017982017982018,0.001998001998002,0.993778865749205,0.00622113425079474,0.000128478337151267,0.995777889095684,0.00422211090431626,0.000128478337151267,0.99365198090017,0.000127679158219053,0.00622033994161043
"Ardea alba",503297.545009305,-194962.000708674,398625.069244678,-206290.754263776,105283.749172456,-11328.7535551022,-104672.475764627,-92.7516979644196,132,140,0.889473269397658,0.999000999000999,0.993006993006993,0.993006993006993,1,0.999000999000999,0.994005994005994,0.994005994005994,1,0.001998001998002,0.00899100899100899,0.00899100899100899,0.001998001998002,0.002997002997003,0.00599400599400599,0.00599400599400599,0.000999000999000999,0.970697937844406,0.0293020621555945,0.0114089863071891,0.970697937844406,0.0293020621555945,0.0114089863071891,0.959944174253063,0.0110783830603606,0.0289774426865763
"Ardea herodias",467103.040256636,301838.080031854,458213.524499809,302989.095449327,8963.72282492858,1151.01541747293,-8889.51575682755,-79.4737493975243,568,563,0.906283806940751,1,0.981018981018981,0.981018981018981,1,1,0.974025974025974,0.974025974025974,1,0.000999000999000999,0.015984015984016,0.015984015984016,0.000999000999000999,0.000999000999000999,0.020979020979021,0.020979020979021,0.000999000999000999,0.996566467663399,0.00343353233660111,0.00150109241941059,0.996566467663399,0.00343353233660111,0.00150109241941059,0.995075657962411,0.00149594608022826,0.00342839595736084
"Artemisiospiza nevadensis",-1415196.26417117,480196.149266546,-1390245.70191557,500996.123486688,32483.3724300523,20799.9742201426,24950.5622556063,40.4266759720168,39,36,0.89282779547482,1,1,1,0.998001998001998,1,1,1,0.999000999000999,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.957262578888056,0.0427374211119437,0.0153079466594821,0.957262578888056,0.0427374211119437,0.0153079466594821,0.943225933701623,0.0146633175640665,0.04211074873431
"Athene cunicularia",-887784.105804951,76108.8417967559,-819322.930157495,91849.400810897,70247.4040026353,15740.5590141411,68461.1756474558,71.2415370361345,49,60,0.795516857444807,0.993006993006993,0.933066933066933,0.933066933066933,0.999000999000999,0.99000999000999,0.928071928071928,0.928071928071928,0.998001998001998,0.002997002997003,0.0579420579420579,0.0579420579420579,0.000999000999000999,0.010989010989011,0.0639360639360639,0.0639360639360639,0.001998001998002,0.989270173811646,0.0107298261883539,0.0716397735470118,0.989270173811646,0.0107298261883539,0.0707627103451689,0.91910558279314,0.070925610491381,0.00996880671547849
"Auriparus flaviceps",-1038912.01195575,-565704.272049397,-1000649.96970544,-540293.107701828,45931.5920763,25411.1643475684,38262.0422503098,50.0296708569923,31,38,0.694079884343877,0.997002997002997,0.981018981018981,0.981018981018981,1,0.993006993006993,0.987012987012987,0.987012987012987,1,0.00799200799200799,0.021978021978022,0.021978021978022,0.011988011988012,0.00599400599400599,0.018981018981019,0.018981018981019,0.003996003996004,0.724331236420559,0.275668763579442,0,0.724331236420559,0.275668763579442,0,0.724331236420559,0,0.275668763579442
"Aythya affinis",-1007228.65438596,872238.850806148,-957648.35956281,933021.056970544,78439.0350588387,60782.206164396,49580.2948231511,31.5460233378616,38,28,0.81003613860365,1,0.991008991008991,0.991008991008991,1,1,0.992007992007992,0.992007992007992,1,0.000999000999000999,0.014985014985015,0.014985014985015,0.000999000999000999,0.000999000999000999,0.014985014985015,0.014985014985015,0.000999000999000999,0.974585631384696,0.0254143686153041,0.0428433404059173,0.974585631384696,0.0254143686153041,0.039756845124257,0.933847935091116,0.0418000173424474,0.024352047566437
"Aythya americana",-863281.298499977,883940.368002054,-958541.978033102,897511.659728146,96222.5390655823,13571.2917260922,-95260.6795331254,-88.4518890337614,43,41,0.894743692007836,1,0.963036963036963,0.963036963036963,1,1,0.977022977022977,0.977022977022977,1,0.002997002997003,0.035964035964036,0.035964035964036,0.001998001998002,0.001998001998002,0.01998001998002,0.01998001998002,0.001998001998002,0.970001473085748,0.0299985269142525,0.0298475031581376,0.977141376969847,0.022858623030153,0.0298475031581376,0.941892704005071,0.0289780684469038,0.029129227548025
"Aythya collaris",-853479.613496559,888478.56106443,-986347.993249905,887934.693446272,132869.492850186,-543.867618158576,-132868.379753346,-96.6759339698817,29,33,0.826520614694081,1,0.96003996003996,0.96003996003996,1,0.999000999000999,0.966033966033966,0.966033966033966,1,0.002997002997003,0.050949050949051,0.050949050949051,0.001998001998002,0.000999000999000999,0.042957042957043,0.042957042957043,0.000999000999000999,0.925279097563116,0.0747209024368846,0.0172145496259015,0.925279097563116,0.0747209024368846,0.0148802978429804,0.91052202697827,0.0159487776431035,0.0735291953786267
"Aythya valisineria",-619834.562281359,1064310.92811663,-762294.428958281,937520.44144104,190710.883604058,-126790.486675594,-142459.866676922,-136.559699616027,24,20,0.788263312585619,0.997002997002997,0.98001998001998,0.98001998001998,1,0.998001998001998,0.979020979020979,0.979020979020979,1,0.004995004995005,0.025974025974026,0.025974025974026,0.003996003996004,0.00599400599400599,0.030969030969031,0.030969030969031,0.001998001998002,0.90388228959839,0.09611771040161,0.101914475405866,0.90388228959839,0.09611771040161,0.0997552026825315,0.819794128095076,0.0930299912621094,0.0871758806428142
"Baeolophus bicolor",1042173.83708121,142672.330723341,1084762.9644412,174541.579733405,53192.8829990527,31869.2490100646,42589.1273599896,60.9230889574781,486,491,0.946277392851062,1,0.921078921078921,0.921078921078921,1,1,0.925074925074925,0.925074925074925,1,0.002997002997003,0.0889110889110889,0.0889110889110889,0.002997002997003,0.000999000999000999,0.0629370629370629,0.0629370629370629,0.000999000999000999,0.990732200861113,0.00926779913888644,0.00457155901187432,0.990732200861113,0.00926779913888644,0.00457155901187432,0.98624479564609,0.00452938262340026,0.0092258217305096
"Baeolophus ridgwayi",-1295330.9401658,126382.100523786,-1277715.09920119,73743.1105472432,55508.3878223946,-52638.9899765431,17615.8409646193,152.057748875434,24,30,0.863324629656918,0.998001998001998,0.998001998001998,0.998001998001998,0.997002997002997,0.998001998001998,0.998001998001998,0.998001998001998,0.995004995004995,0.002997002997003,0.002997002997003,0.002997002997003,0.003996003996004,0.003996003996004,0.003996003996004,0.003996003996004,0.00599400599400599,0.889945653321149,0.110054346678851,0.0223576312177603,0.889945653321149,0.110054346678851,0.0223576312177603,0.872194659090995,0.0199461553229799,0.107859185586025
"Bartramia longicauda",39870.7599892116,668922.535154325,-123328.064677306,678192.771380128,163461.902754786,9270.23622580292,-163198.824666518,-86.3907241195263,116,94,0.797106508718152,0.993006993006993,1,1,0.995004995004995,0.995004995004995,1,1,1,0.002997002997003,0.018981018981019,0.018981018981019,0.00699300699300699,0.002997002997003,0.00599400599400599,0.00599400599400599,0.000999000999000999,1,0,0.180999268749549,1,0,0.169285335219488,0.819000731250451,0.180999268749549,0
"Bombycilla cedrorum",677495.993699213,601431.047126393,729314.909383295,617639.223750244,54294.6131042836,16208.1766238506,51818.9156840811,77.7652340891478,500,479,0.920940180905831,1,0.783216783216783,0.783216783216783,1,1,0.77022977022977,0.77022977022977,1,0.000999000999000999,0.213786213786214,0.213786213786214,0.000999000999000999,0.001998001998002,0.241758241758242,0.241758241758242,0.000999000999000999,0.99996834214845,3.16578515498533e-05,0.0202959312268163,0.99996834214845,3.16578515498533e-05,0.0155074605479919,0.979673682912611,0.0202953017414889,3.10153459001617e-05
"Bonasa umbellus",471919.685891613,933453.459860955,684286.230056694,896649.551904403,215532.078172818,-36803.9079565521,212366.544165081,103.335980179972,81,57,0.911754794262312,0.997002997002997,0.86013986013986,0.86013986013986,1,1,0.865134865134865,0.865134865134865,1,0.000999000999000999,0.154845154845155,0.154845154845155,0.000999000999000999,0.000999000999000999,0.118881118881119,0.118881118881119,0.000999000999000999,0.985455404593993,0.0145445954060071,0.00943266092102833,0.985455404593993,0.0145445954060071,0.00720639893481729,0.976293879803296,0.00929674214377211,0.014409378052932
"Botaurus lentiginosus",-5661.58783698355,980366.583359165,113077.307469594,963419.745136792,119942.155159734,-16946.8382223727,118738.895306578,98.0207862385445,72,69,0.904017702912994,1,0.908091908091908,0.908091908091908,1,1,0.893106893106893,0.893106893106893,1,0.000999000999000999,0.100899100899101,0.100899100899101,0.000999000999000999,0.000999000999000999,0.0789210789210789,0.0789210789210789,0.000999000999000999,0.997236246240035,0.00276375375996503,0.0297866864321644,0.998013894063006,0.0019861059369941,0.029698565234203,0.967611539623737,0.0297068089211506,0.00268165145511264
"Branta canadensis",441303.6220692,547402.952219516,446588.725026648,484661.847024172,62963.3114949018,-62741.1051953439,5285.10295744822,178.410698911377,424,539,0.913357756400226,0.999000999000999,0.799200799200799,0.799200799200799,1,1,0.788211788211788,0.788211788211788,1,0.003996003996004,0.227772227772228,0.227772227772228,0.002997002997003,0.000999000999000999,0.230769230769231,0.230769230769231,0.000999000999000999,0.995590143874324,0.00440985612567607,0.000397137880942664,0.995590143874324,0.00440985612567607,0.000397137880942664,0.995196500222746,0.000395387252475617,0.00440811252477873
"Bubo virginianus",31029.5016698194,269801.646242046,-292179.866218563,216890.615141528,327511.637507627,-52911.031100518,-323209.367888382,-98.8230474740042,232,190,0.854189324330688,0.997002997002997,0.846153846153846,0.846153846153846,1,0.993006993006993,0.849150849150849,0.849150849150849,1,0.001998001998002,0.140859140859141,0.140859140859141,0.000999000999000999,0.004995004995005,0.165834165834166,0.165834165834166,0.000999000999000999,0.982087857677533,0.0179121423224666,0.000341000549535478,0.982087857677533,0.0179121423224666,0.000341000549535478,0.981758961811568,0.000334894544712909,0.0179061436437187
"Bubulcus ibis",631246.329601744,-418328.130415468,641281.953386243,-535167.424957726,117269.495154864,-116839.294542258,10035.6237844992,179.212216064941,130,95,0.833611322965531,1,0.978021978021978,0.978021978021978,1,1,0.982017982017982,0.982017982017982,1,0.000999000999000999,0.013986013986014,0.013986013986014,0.000999000999000999,0.000999000999000999,0.011988011988012,0.011988011988012,0.000999000999000999,0.962268337739227,0.037731662260773,0.008273066152995,0.962700770540311,0.0372992294596887,0.008273066152995,0.954605414445456,0.00796339544100032,0.0374311901135442
"Buteo jamaicensis",84924.0346356669,320688.306422882,102081.961099728,346971.609673115,31387.9988258234,26283.3032502338,17157.9264640615,34.2038345006808,704,746,0.945600982376264,1,0.93006993006993,0.93006993006993,1,1,0.928071928071928,0.928071928071928,1,0.000999000999000999,0.0679320679320679,0.0679320679320679,0.000999000999000999,0.000999000999000999,0.0729270729270729,0.0729270729270729,0.000999000999000999,0.990197459155335,0.00980254084466529,4.84362635030265e-05,0.990197459155335,0.00980254084466529,4.84362635030265e-05,0.990149967811954,4.79614878237152e-05,0.00980207070022193
"Buteo lineatus",812457.213752305,-114567.776066045,799569.009518328,-33052.5921311103,82527.75908943,81515.1839349351,-12888.2042339767,-3.55064482492462,214,311,0.885224014080426,0.999000999000999,0.925074925074925,0.925074925074925,1,0.996003996003996,0.905094905094905,0.905094905094905,1,0.00799200799200799,0.0979020979020979,0.0979020979020979,0.002997002997003,0.001998001998002,0.0769230769230769,0.0769230769230769,0.000999000999000999,0.989182843668812,0.0108171563311879,0.00126964373849101,0.989182843668812,0.0108171563311879,0.00126964373849101,0.987940502175573,0.0012559270525071,0.0108035707719204
"Buteo platypterus",1090104.95621469,289457.552134098,1048421.47816017,327585.250941599,56491.00600164,38127.6988075004,-41683.4780545225,-40.3406361175812,122,180,0.894861751265554,1,0.912087912087912,0.912087912087912,1,1,0.914085914085914,0.914085914085914,1,0.001998001998002,0.0959040959040959,0.0959040959040959,0.001998001998002,0.000999000999000999,0.0919080919080919,0.0919080919080919,0.000999000999000999,0.997081571743692,0.00291842825630839,0.0147342746014869,0.997081571743692,0.00291842825630839,0.0144926956206036,0.982432543572024,0.0146919054436533,0.00287555098432262
"Buteo regalis",-906205.060799194,537009.467807588,-955312.785640123,626796.254264005,102338.827730352,89786.7864564171,-49107.7248409288,-35.660341449062,49,46,0.869593803368595,0.994005994005994,0.998001998001998,0.998001998001998,0.998001998001998,0.996003996003996,0.999000999000999,0.999000999000999,0.998001998001998,0.00599400599400599,0.001998001998002,0.001998001998002,0.002997002997003,0.00699300699300699,0.000999000999000999,0.000999000999000999,0.002997002997003,0.974791537222844,0.0252084627771559,0.0196738575201952,0.974791537222844,0.0252084627771559,0.0196738575201952,0.956087796956291,0.0191874257749919,0.0247247772687176
"Buteo swainsoni",-846241.671952273,371956.34992423,-886398.10437891,297945.041424937,84203.4016593902,-74011.3084992931,-40156.4324266369,-157.219768255969,136,156,0.902653125748237,0.997002997002997,0.987012987012987,0.987012987012987,0.999000999000999,0.996003996003996,0.984015984015984,0.984015984015984,0.999000999000999,0.000999000999000999,0.00899100899100899,0.00899100899100899,0.000999000999000999,0.004995004995005,0.020979020979021,0.020979020979021,0.001998001998002,0.98465141651605,0.0153485834839501,0.0235888738896755,0.98465141651605,0.0153485834839501,0.023403683453014,0.961772813852281,0.0232352305394729,0.0149919556082461
"Butorides virescens",777319.754906416,142079.462341088,798023.274680609,118184.584355284,31616.466042189,-23894.8779858043,20703.5197741933,143.991993036631,382,297,0.890103052947381,0.999000999000999,0.968031968031968,0.968031968031968,1,1,0.954045954045954,0.954045954045954,1,0.003996003996004,0.040959040959041,0.040959040959041,0.000999000999000999,0.003996003996004,0.032967032967033,0.032967032967033,0.000999000999000999,0.996420465462461,0.00357953453753852,0.0188992495730486,0.996420465462461,0.00357953453753852,0.0171829316468203,0.977655005272137,0.0188328731100629,0.00351212161779997
"Calamospiza melanocorys",-703021.944194533,567827.173030211,-688678.350949018,551934.433450442,21408.3590810497,-15892.7395797697,14343.593245515,132.359153092383,72,63,0.887715199004723,1,0.999000999000999,0.999000999000999,1,1,1,1,0.999000999000999,0.000999000999000999,0.002997002997003,0.002997002997003,0.001998001998002,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.001998001998002,0.991814346223796,0.00818565377620385,0.0912187449171243,1,0,0.0912187449171243,0.902015808101676,0.0905396644684721,0.00744452742985127
"Calcarius ornatus",-559989.97486897,1089604.36482644,-591653.965679378,1054004.81900558,47643.8451081896,-35599.5458208611,-31663.9908104076,-142.985759083043,25,23,0.89512746745692,1,1,1,1,1,0.998001998001998,0.998001998001998,1,0.001998001998002,0.002997002997003,0.002997002997003,0.001998001998002,0.002997002997003,0.002997002997003,0.002997002997003,0.000999000999000999,0.993492382205709,0.00650761779429142,0.0839155573940588,0.993492382205709,0.00650761779429142,0.0811248391329919,0.9106201961101,0.0834150191585959,0.00596478473130378
"Callipepla californica",-1983631.59223397,786313.610916423,-1969188.14230637,783430.626230636,14728.3687660744,-2882.98468578747,14443.4499275966,86.5803330886246,64,67,0.920505096906741,0.998001998001998,0.94005994005994,0.94005994005994,1,1,0.933066933066933,0.933066933066933,1,0.003996003996004,0.0689310689310689,0.0689310689310689,0.000999000999000999,0.003996003996004,0.0539460539460539,0.0539460539460539,0.001998001998002,0.963094170980447,0.0369058290195532,0.00607156545034149,0.963094170980447,0.0369058290195532,0.00607156545034149,0.957461225917894,0.00584879987054466,0.0366899742115613
"Callipepla gambelii",-1381177.64937155,-286537.151627836,-1384038.29194316,-286317.398072968,2869.07085087355,219.753554867988,-2860.64257160085,-94.6529944614412,28,28,0.991020653422854,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.999676937354726,0.00032306264527367,0.00353274117215628,0.999676937354726,0.00032306264527367,0.00353274117215628,0.99614647437797,0.00353160390605605,0.000321921715973721
"Callipepla squamata",-752068.047899949,-425089.009422459,-768382.385898561,-405744.015078859,25305.8576319175,19344.9943436001,-16314.337998612,-45.4572401132513,40,37,0.931176163325353,1,1,1,1,1,1,1,0.999000999000999,0.000999000999000999,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.96202690734363,0.0379730926563699,0.0205909436516438,0.96202690734363,0.0379730926563699,0.0205909436516438,0.942955163853618,0.0198245426863098,0.0372202934600725
"Calypte anna",-2015751.11276906,355119.649355024,-2022770.16401435,550072.800738692,195079.466666298,194953.151383667,-7019.05124529521,-16.5478575940525,28,37,0.798736035482912,0.997002997002997,0.948051948051948,0.948051948051948,1,0.993006993006993,0.948051948051948,0.948051948051948,1,0.00999000999000999,0.0569430569430569,0.0569430569430569,0.000999000999000999,0.00999000999000999,0.0529470529470529,0.0529470529470529,0.000999000999000999,0.851898324692157,0.148101675307843,0.0747954089910778,0.859300743054876,0.140699256945124,0.0747954089910778,0.79700896875319,0.0644318158024328,0.138559215444377
"Campylorhynchus brunneicapillus",-961097.222534803,-525179.187792009,-989088.35427509,-464678.045914781,66662.5203885257,60501.141877228,-27991.1317402875,-31.3292887007874,48,46,0.823840932203003,0.995004995004995,0.997002997002997,0.997002997002997,0.998001998001998,0.992007992007992,0.994005994005994,0.994005994005994,0.997002997002997,0.011988011988012,0.00999000999000999,0.00999000999000999,0.00799200799200799,0.012987012987013,0.004995004995005,0.004995004995005,0.002997002997003,0.988945746338383,0.0110542536616169,0.0910264399179936,0.988945746338383,0.0110542536616169,0.0910264399179936,0.89983097211743,0.0901108827768405,0.0100581451057295
